raw_comp_writers_text,CLEAN_TEXT,normalized_text
Jordan Riley/Adam Argyle/Martin Brammer,Jordan Riley/Adam Argyle/Martin Brammer,Jordan Riley/Adam Argyle/Martin Brammer
Martin Hygård,Martin Hygård,Martin Hygård
Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright,Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright,Jesse Robinson/Greg Phillips/Kishaun Bailey/Kai Asa Savon Wright
Mendel Brikman,,Mendel Brikman
Alvin Lee,Alvin Lee,Alvin Lee
Haddag Samir/MusicAlligator,Haddag Samir,Haddag Samir
Mefi Morales,Mefi Morales,Mefi Morales
Christopher Franke,Christopher Franke,Christopher Franke
UNKNOWN WRITER (999990),,
Shashank Katkar,Shashank Katkar,Shashank Katkar
L. Chandler/John Hammond,L. Chandler/John Hammond,L. Chandler/John Hammond
Itsjaygocrazy/Jordan Ancrum,Itsjaygocrazy/Jordan Ancrum,Itsjaygocrazy/Jordan Ancrum
Ferhan C/Aaron Tyler/Blue Stamp Music,Ferhan C/Aaron Tyler,Ferhan C/Aaron Tyler
Mike Kalambay,Mike Kalambay,Mike Kalambay
Rikard Sjöblom,Rikard Sjöblom,Rikard Sjöblom
Junior Francisco,Junior Francisco,Junior Francisco
PHUC TRUONG,PHUC TRUONG,PHUC TRUONG
Slatt Zy,Slatt Zy,Slatt Zy
Bằng Giang/Tú Nhi,Bằng Giang/Tú Nhi,Bằng Giang/Tú Nhi
Paul Hardcastle/Kim Fuller,Paul Hardcastle/Kim Fuller,Paul Hardcastle/Kim Fuller
Ivan Torrent,Ivan Torrent,Ivan Torrent
An Stepper,An Stepper,An Stepper
NS (PERF BY KALI),NS (PERF BY KALI),NS
José Afonso/Luís de Andrade,José Afonso/Luís de Andrade,José Afonso/Luís de Andrade
Lavel Jackson & Demarcus Ford,Lavel Jackson/Demarcus Ford,Lavel Jackson/Demarcus Ford
fo man,,fo man
Wilhelm Hellweg/Ludwig van Beethoven,Wilhelm Hellweg/Ludwig van Beethoven,Wilhelm Hellweg/Ludwig van Beethoven
Traditional,,
#unknown#,,
Christian Michelle Felix Felix,Christian Michelle Felix Felix,Christian Michelle Felix Felix
Eric Andersen,Eric Andersen,Eric Andersen
Efrem Jamaar Blackwell,Efrem Jamaar Blackwell,Efrem Jamaar Blackwell
ZAIKS/Mariusz Duda/District 6 Music Publishing Ltd,Mariusz Duda,Mariusz Duda
Ludwig van Beethoven,Ludwig van Beethoven,Ludwig van Beethoven
Nguyễn Nhất Huy,Nguyễn Nhất Huy,Nguyễn Nhất Huy
Hayden Buck Jones,Hayden Buck Jones,Hayden Buck Jones
Alexey Abrosimov,Alexey Abrosimov,Alexey Abrosimov
Bhai Gurbachan Singh Ji Sri Ganganagar Wale,Bhai Gurbachan Singh Ji Sri Ganganagar Wale,Bhai Gurbachan Singh Ji Sri Ganganagar Wale
"Rundown Spaz,Rundown Choppaboy",Rundown Spaz/Rundown Choppaboy,Rundown Spaz/Rundown Choppaboy
Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay,Michael Hansen/James Lewis/Felix Rutherford/Robbie Jay
Antonio Short & Alexander Thai,Antonio Short/Alexander Thai,Antonio Short/Alexander Thai
Patra Nicolas/Colombier Emmanuel/Bausson Matthieu/LeFloch Fabien,Patra Nicolas/Colombier Emmanuel/Bausson Matthieu/LeFloch Fabien,Patra Nicolas/Colombier Emmanuel/Bausson Matthieu/LeFloch Fabien
O.Nesterov,O.Nesterov,O.Nesterov
Mozzy,Mozzy,Mozzy
DJ PALEMBANG/Copyright Control,DJ PALEMBANG,DJ PALEMBANG
Angel Graciano,Angel Graciano,Angel Graciano
AARON D SPRINKLE,,AARON D SPRINKLE
Danny Kortchmar,Danny Kortchmar,Danny Kortchmar
Johann Sebastian Bach,Johann Sebastian Bach,Johann Sebastian Bach
Dev Kohli/Anu Malik,Dev Kohli/Anu Malik,Dev Kohli/Anu Malik
Donovan Edjuan Jarrett,Donovan Edjuan Jarrett,Donovan Edjuan Jarrett
Copyright Control/Paulo Jorge Moreno,Paulo Jorge Moreno,Paulo Jorge Moreno
"Day & Murray (Bowles, Gaudet, Middleton & Shanahan)",Day/Murray/Bowles/Gaudet/Middleton/Shanahan,Day/Murray (Bowles/Gaudet/Middleton/Shanahan)
Horace Watt,Horace Watt,Horace Watt
Ivan Konstantinovich Shabashov/Dmitry Aleksandrovich Lystsov,Ivan Konstantinovich Shabashov/Dmitry Aleksandrovich Lystsov,Ivan Konstantinovich Shabashov/Dmitry Aleksandrovich Lystsov
Joseph Haydn,Joseph Haydn,Joseph Haydn
BOOSEY & HAWKES,BOOSEY/HAWKES,BOOSEY/HAWKES
Willie Taylor,Willie Taylor,Willie Taylor
Khúc Lan,Khúc Lan,Khúc Lan
Dhibu Ninan Thomas,Dhibu Ninan Thomas,Dhibu Ninan Thomas
Lil Durk,Lil Durk,Lil Durk
"Debbie Moore,Bill Anderson,Skip Ewing",Debbie Moore/Bill Anderson/Skip Ewing,Debbie Moore/Bill Anderson/Skip Ewing
Tomaso Albinoni,Tomaso Albinoni,Tomaso Albinoni
Adam Pék/Cory James/Various Artists/Copyright Control (PRS)/Nick Sinna,Various Artists/Nick Sinna,Adam Pék/Cory James/Nick Sinna
Mehdi Benjelloun & Sonia Ben Ammar,Mehdi Benjelloun/Sonia Ben Ammar,Mehdi Benjelloun/Sonia Ben Ammar
Akshay Roy,Akshay Roy,Akshay Roy
Aleksandr Alekseevich Osipov,,Aleksandr Alekseevich Osipov
Sam Geiser,Sam Geiser,Sam Geiser
"SUBZEROSWIZ,Yeat",SUBZEROSWIZ/Yeat,SUBZEROSWIZ/Yeat
渡辺徹/森月キャス,,
Ray Davies,Ray Davies,Ray Davies
Yuvanshankar Raja & Ramajogayya Sastry,Yuvanshankar Raja/Ramajogayya Sastry,Yuvanshankar Raja/Ramajogayya Sastry
Auditory Music,Auditory Music,Auditory Music
AHN TAI/FRICK SVEEN LOUISE/MINATOZAKI SANA,AHN/TAI/FRICK/SVEEN/LOUISE/MINATOZAKI/SANA,AHN TAI/FRICK SVEEN LOUISE/MINATOZAKI SANA
J.P Chaluleau/Gerard Bavoux/J.P Virgil,J.P Chaluleau/Gerard Bavoux/J.P Virgil,J.P Chaluleau/Gerard Bavoux/J.P Virgil
"<Unknown>/Wright, Justyce Kaseem",Wright/Justyce Kaseem,Wright/Justyce Kaseem
高瀬愛虹/Devin Kinoshita,,Devin Kinoshita
Sameer/Nadeem-Shravan,Nadeem-Shravan,Sameer/Nadeem-Shravan
Zeke N Moon,Zeke N Moon,Zeke N Moon
GO TO THE BEDS/Kenta Matsukuma,GO TO THE BEDS/Kenta Matsukuma,GO TO THE BEDS/Kenta Matsukuma
Johnny Ainschough/Alexandre Allix/Samuel Alalade,Johnny Ainschough/Alexandre Allix/Samuel Alalade,Johnny Ainschough/Alexandre Allix/Samuel Alalade
Dorian Guerra,Dorian Guerra,Dorian Guerra
BMI,,
Leandro Baron Utria,Leandro Baron Utria,Leandro Baron Utria
Pete Townshend,Pete Townshend,Pete Townshend
"King Von,Tee Grizzley,Chopsquad DJ,DJ Bandz",King Von/Tee Grizzley/Chopsquad DJ/DJ Bandz,King Von/Tee Grizzley/Chopsquad DJ/DJ Bandz
John Lennon/Paul McCartney,John Lennon/Paul McCartney,John Lennon/Paul McCartney
Aaron Taylor/Charles Robinson,Aaron Taylor/Charles Robinson,Aaron Taylor/Charles Robinson
"Raymon Marines, Jesus Raul Ortega Jr & Albert Marines",,Raymon Marines/Jesus Raul Ortega Jr/Albert Marines
Benjamin Timothy Duncan & Nathanael Paul Duncan,Benjamin Timothy Duncan/Nathanael Paul Duncan,Benjamin Timothy Duncan/Nathanael Paul Duncan
Jeff Moise Right,,Jeff Moise Right
